Fe,C,Cr,Mo,Co,Ni,Nb,W,aus,tem,time,AF,DQ,HRc,UTS,YS,J,El
68.57,0.23,3,1.2,13,14,0,0,900,475,1,850,24,,2063,1685,,9
68.57,0.23,3,1.2,13,14,0,0,900,475,5,850,24,,1949,1594,,8.4
68.57,0.23,3,1.2,13,14,0,0,900,475,10,850,24,,1949,1594,,8.4
68.57,0.23,3,1.2,13,14,0,0,900,475,20,850,24,,1773,1500,,9.5
68.57,0.23,3,1.2,13,14,0,0,900,475,50,850,24,,1561,1350,,11.4
68.57,0.23,3,1.2,13,14,0,0,900,475,0,700,0,54.7,2009,1054,53,14.9
68.57,0.23,3,1.2,13,14,0,0,900,475,1,700,0,56.7,2047,1491,31.9,11.1
68.57,0.23,3,1.2,13,14,0,0,900,475,5,700,0,55.5,1950,1509,55.4,11.6
68.57,0.23,3,1.2,13,14,0,0,900,475,10,700,0,54.1,1857,1433,62.2,10.5
68.57,0.23,3,1.2,13,14,0,0,900,475,20,700,0,51.4,1753,1407,79.4,11.2
68.57,0.23,3,1.2,13,14,0,0,900,475,50,700,0,49,1557,1286,86.2,13.5
68.57,0.23,3,1.2,13,14,0,0,900,475,0,700,24,,1918,,,12.6
68.57,0.23,3,1.2,13,14,0,0,900,475,1,700,24,,2071,,,
68.57,0.23,3,1.2,13,14,0,0,900,475,5,700,24,,1963,,,9
68.57,0.23,3,1.2,13,14,0,0,900,475,10,700,24,,1823,,,7.8
68.57,0.23,3,1.2,13,14,0,0,900,475,20,700,24,,1711,,,9
68.57,0.23,3,1.2,13,14,0,0,900,475,50,700,24,,1538,,,12.4
68.57,0.23,3,1.2,13,14,0,0,900,475,0,0,0,,1893,982,,10.4
68.57,0.23,3,1.2,13,14,0,0,900,475,1,0,0,,1899,1330,,13
68.57,0.23,3,1.2,13,14,0,0,900,475,5,0,0,,1862,1392,,10.3
68.57,0.23,3,1.2,13,14,0,0,900,475,10,0,0,,1716,1313,,10.5
68.57,0.23,3,1.2,13,14,0,0,900,450,0,850,0,54.6,,,47.5,
68.57,0.23,3,1.2,13,14,0,0,900,450,1,850,0,55.9,,,41.2,
68.57,0.23,3,1.2,13,14,0,0,900,450,5,850,0,57.4,,,46.1,
68.57,0.23,3,1.2,13,14,0,0,900,450,10,850,0,56.9,,,42.6,
68.57,0.23,3,1.2,13,14,0,0,900,450,20,850,0,56.1,,,42.1,
68.57,0.23,3,1.2,13,14,0,0,900,450,50,850,0,53.5,,,61.7,
68.57,0.23,3,1.2,13,14,0,0,900,450,100,850,0,50.3,,,78.9,
68.57,0.23,3,1.2,13,14,0,0,900,450,0,700,0,54.7,,,53,
68.57,0.23,3,1.2,13,14,0,0,900,450,1,700,0,55.7,,,38.2,
68.57,0.23,3,1.2,13,14,0,0,900,450,5,700,0,57.2,,,48,
68.57,0.23,3,1.2,13,14,0,0,900,450,10,700,0,56.4,,,49,
68.57,0.23,3,1.2,13,14,0,0,900,450,20,700,0,54.3,,,51.5,
68.57,0.23,3,1.2,13,14,0,0,900,450,50,700,0,53.5,,,63.2,
68.57,0.23,3,1.2,13,14,0,0,900,450,100,700,0,50.9,,,78.4,
68.57,0.23,3,1.2,13,14,0,0,900,500,0,850,0,54.6,,,47.5,
68.57,0.23,3,1.2,13,14,0,0,900,500,5,850,0,52.9,,,71.5,
68.57,0.23,3,1.2,13,14,0,0,900,500,0,700,0,54.7,,,53,
68.57,0.23,3,1.2,13,14,0,0,900,500,5,700,0,51.4,,,75.5,
68.57,0.23,3,1.2,13,14,0,0,900,525,0,850,0,54.6,,,47.5,
68.57,0.23,3,1.2,13,14,0,0,900,525,0,700,0,54.7,,,53,
68.57,0.23,3,1.2,13,14,0,0,1050,475,0,700,0,54.1,1992,1051,60.8,11.9
68.57,0.23,3,1.2,13,14,0,0,1050,475,1,700,0,56.5,2033,1446,38.2,11.4
68.57,0.23,3,1.2,13,14,0,0,1050,475,5,700,0,54.8,1828,1435,53.9,8.2
68.57,0.23,3,1.2,13,14,0,0,1050,475,10,700,0,53.3,1823,1405,63.7,10.2
68.57,0.23,3,1.2,13,14,0,0,1050,475,20,700,0,52.3,1671,1357,78.4,7.2
68.57,0.23,3,1.2,13,14,0,0,1050,475,50,700,0,49,1533,1254,92.1,11.9
68.57,0.23,3,1.2,13,14,0,0,1050,475,0,700,24,,1875,1231,,11.1
68.57,0.23,3,1.2,13,14,0,0,1050,475,1,700,24,,2011,1603,,11.1
68.57,0.23,3,1.2,13,14,0,0,1050,475,5,700,24,,1905,1577,,9.5
68.57,0.23,3,1.2,13,14,0,0,1050,475,10,700,24,,1849,1535,,10.4
68.57,0.23,3,1.2,13,14,0,0,1050,475,20,700,24,,1684,1439,,8.8
68.57,0.23,3,1.2,13,14,0,0,1050,475,50,700,24,,1524,1309,,11.6
68.57,0.23,3,1.2,13,14,0,0,1050,475,0,0,0,,1162,842,,2
68.57,0.23,3,1.2,13,14,0,0,1050,475,1,0,0,,1190,1100,,5.4
68.57,0.23,3,1.2,13,14,0,0,1050,475,5,0,0,,1408,1149,,8.5
68.57,0.23,3,1.2,13,14,0,0,1050,475,10,0,0,,1290,1156,,9
68.57,0.23,3,1.2,13,14,0,0,1050,450,0,700,0,54.1,,,60.8,
68.57,0.23,3,1.2,13,14,0,0,1050,450,1,700,0,55.4,,,41.2,
68.57,0.23,3,1.2,13,14,0,0,1050,450,5,700,0,57,,,46.1,
68.57,0.23,3,1.2,13,14,0,0,1050,450,10,700,0,57.3,,,47,
68.57,0.23,3,1.2,13,14,0,0,1050,450,20,700,0,55.1,,,54.9,
68.57,0.23,3,1.2,13,14,0,0,1050,450,50,700,0,54.1,,,59.8,
68.57,0.23,3,1.2,13,14,0,0,1050,450,100,700,0,51.5,,,63.7,
68.57,0.23,3,1.2,13,14,0,0,1050,500,0,700,0,54.1,,,60.8,
68.57,0.23,3,1.2,13,14,0,0,1050,500,5,700,0,52.7,,,76.4,
68.57,0.23,3,1.2,13,14,0,0,1050,525,0,700,0,54.1,,,60.8,
78.57,0.23,3,1.2,9,8,0,0,900,475,0,850,0,55.2,2032,1294,44,11.7
78.57,0.23,3,1.2,9,8,0,0,900,475,1,850,0,53.1,1802,1414,49,14.3
78.57,0.23,3,1.2,9,8,0,0,900,475,5,850,0,54.4,1854,1472,52.4,13.6
78.57,0.23,3,1.2,9,8,0,0,900,475,10,850,0,54.5,1868,1478,56.8,13.1
78.57,0.23,3,1.2,9,8,0,0,900,475,20,850,0,54,1873,1548,54.4,14
78.57,0.23,3,1.2,9,8,0,0,900,475,50,850,0,53.8,1776,1535,68.6,12.5
78.57,0.23,3,1.2,9,8,0,0,900,475,0,850,24,,2022,1420,,
78.57,0.23,3,1.2,9,8,0,0,900,475,1,850,24,,1775,1418,,11.3
78.57,0.23,3,1.2,9,8,0,0,900,475,5,850,24,,1802,1417,,11.7
78.57,0.23,3,1.2,9,8,0,0,900,475,10,850,24,,1839,1526,,9.2
78.57,0.23,3,1.2,9,8,0,0,900,475,20,850,24,,1844,1578,,10.6
78.57,0.23,3,1.2,9,8,0,0,900,475,50,850,24,,1793,1587,,9.2
78.57,0.23,3,1.2,9,8,0,0,900,475,0,0,0,,1788,1170,,6.6
78.57,0.23,3,1.2,9,8,0,0,900,475,1,0,0,,1691,1310,,13.7
78.57,0.23,3,1.2,9,8,0,0,900,475,5,0,0,,1700,1362,,10.2
